wall,t,timeScale,bladeGapFraction,heroHipX,heroHipY,heroHandX,heroHandY,heroTipX,heroTipY,foeHipX,foeHipY,foeHandX,foeHandY,foeTipX,foeTipY,heroShoulderX,heroShoulderY,heroElbowX,heroElbowY,heroHeadX,heroHeadY,heroStandX,foeStandX,heroArmWeight,heroBladeWeight
0.33333,0.33333,1.00000,0.807410,0.09948,0.95872,-0.19982,1.21994,-0.24904,0.46754,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.27582,1.36802,-0.02131,1.40889,0.19095,1.58895,0.09948,1.55000,0.80350,0.00000
0.34167,0.34167,1.00000,0.817904,0.10324,0.95847,-0.19917,1.22730,-0.26569,0.47623,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.28025,1.36758,-0.01636,1.41209,0.19547,1.58864,0.10324,1.55000,0.81213,0.00000
0.35000,0.35000,1.00000,0.827039,0.10690,0.95822,-0.19834,1.23366,-0.28011,0.48410,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.28436,1.36734,-0.01181,1.41470,0.19931,1.58840,0.10690,1.55000,0.81974,0.00000
0.35833,0.35833,1.00000,0.835922,0.11043,0.95797,-0.19745,1.23934,-0.29415,0.49157,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.28845,1.36700,-0.00735,1.41663,0.20324,1.58809,0.11043,1.55000,0.82635,0.00000
0.36667,0.36667,1.00000,0.843473,0.11384,0.95772,-0.19641,1.24429,-0.30600,0.49829,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.29220,1.36671,-0.00327,1.41827,0.20685,1.58786,0.11384,1.55000,0.83200,0.00000
0.37500,0.37500,1.00000,0.850659,0.11712,0.95747,-0.19516,1.24842,-0.31732,0.50437,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.29611,1.36620,0.00088,1.41911,0.21101,1.58753,0.11712,1.55000,0.83673,0.00000
0.38333,0.38333,1.00000,0.856565,0.12025,0.95722,-0.19389,1.25174,-0.32660,0.50950,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.29963,1.36581,0.00456,1.41963,0.21461,1.58727,0.12025,1.55000,0.84060,0.00000
0.39167,0.39167,1.00000,0.862039,0.12324,0.95697,-0.19255,1.25454,-0.33521,0.51415,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.30310,1.36537,0.00814,1.41975,0.21819,1.58697,0.12324,1.55000,0.84367,0.00000
0.40000,0.40000,1.00000,0.866726,0.12608,0.95672,-0.19115,1.25660,-0.34260,0.51796,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.30643,1.36492,0.01148,1.41942,0.22168,1.58667,0.12608,1.55000,0.84601,0.00000
0.40833,0.40833,1.00000,0.870632,0.12877,0.95647,-0.18967,1.25815,-0.34877,0.52112,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.30960,1.36447,0.01464,1.41886,0.22502,1.58637,0.12877,1.55000,0.84771,0.00000
0.41667,0.41667,1.00000,0.874375,0.13131,0.95622,-0.18827,1.25937,-0.35471,0.52396,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.31266,1.36399,0.01763,1.41803,0.22830,1.58605,0.13131,1.55000,0.84885,0.00000
0.42500,0.42500,1.00000,0.877004,0.13369,0.95598,-0.18682,1.25997,-0.35889,0.52586,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.31542,1.36357,0.02029,1.41705,0.23114,1.58577,0.13369,1.55000,0.84954,0.00000
0.43333,0.43333,1.00000,0.879624,0.13592,0.95573,-0.18539,1.26040,-0.36309,0.52763,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.31817,1.36308,0.02292,1.41589,0.23413,1.58545,0.13592,1.55000,0.84988,0.00000
0.44167,0.44167,1.00000,0.881749,0.13800,0.95549,-0.18403,1.26062,-0.36650,0.52903,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.32067,1.36263,0.02529,1.41475,0.23682,1.58515,0.13800,1.55000,0.84999,0.00000
0.45000,0.45000,1.00000,0.883855,0.13993,0.95525,-0.18265,1.26079,-0.36989,0.53040,1.55000,0.96500,1.55133,0.85607,1.10585,0.24776,0.32317,1.36211,0.02768,1.41355,0.23961,1.58482,0.13993,1.55000,0.85000,0.00000
0.45833,0.45833,0.99910,0.885131,0.14172,0.95501,-0.18118,1.26108,-0.37178,0.53156,1.55000,0.96499,1.55143,0.85612,1.10594,0.24781,0.32537,1.36165,0.02984,1.41287,0.24202,1.58452,0.14172,1.55000,0.85000,0.00000
0.46667,0.46663,0.99508,0.885086,0.14337,0.95477,-0.17924,1.26157,-0.37152,0.53250,1.55000,0.96495,1.55143,0.85609,1.10594,0.24778,0.32757,1.36109,0.03213,1.41288,0.24457,1.58418,0.14337,1.55000,0.85000,0.00000
0.47500,0.47488,0.98806,0.882249,0.14488,0.95454,-0.17658,1.26242,-0.36718,0.53290,1.55000,0.96490,1.55130,0.85605,1.10535,0.24808,0.32956,1.36061,0.03444,1.41421,0.24680,1.58387,0.14488,1.55000,0.85000,0.00000
0.48333,0.48306,0.97839,0.876865,0.14626,0.95431,-0.17286,1.26340,-0.35786,0.53244,1.55000,0.96484,1.55137,0.85600,1.10543,0.24803,0.33153,1.36015,0.03699,1.41680,0.24884,1.58357,0.14626,1.55000,0.85000,0.00000
0.49167,0.49114,0.96659,0.867642,0.14751,0.95409,-0.16762,1.26443,-0.34195,0.53085,1.55000,0.96475,1.55163,0.85600,1.10568,0.24804,0.33361,1.35972,0.03998,1.42088,0.25082,1.58327,0.14751,1.55000,0.85000,0.00000
0.50000,0.49911,0.95324,0.852861,0.14864,0.95388,-0.16056,1.26590,-0.31768,0.52845,1.55000,0.96466,1.55156,0.85598,1.10491,0.24853,0.33550,1.35938,0.04332,1.42717,0.25242,1.58301,0.14864,1.55000,0.85000,0.00000
