t,standX,hipX,hipY,headX,headY,shX,shY,elX,elY,handX,handY,tipX,tipY
1.99550,0.112810,0.112810,0.967522,0.180235,1.600907,0.265309,1.385274,-0.033991,1.404605,-0.265751,1.286908,-0.937260,0.899785
2.01217,0.112650,0.112650,0.967376,0.180598,1.600655,0.265476,1.384812,-0.033101,1.413202,-0.266682,1.299164,-0.887574,0.838509
2.02884,0.112520,0.112520,0.967232,0.181030,1.600405,0.265685,1.384379,-0.031894,1.421801,-0.267494,1.311993,-0.831589,0.786862
2.04550,0.112416,0.112416,0.967087,0.181479,1.600159,0.266046,1.383974,-0.030298,1.430167,-0.268000,1.324987,-0.771267,0.744998
2.06217,0.112332,0.112332,0.966945,0.181449,1.599980,0.266120,1.383716,-0.028835,1.438073,-0.268587,1.337655,-0.709266,0.712588
2.07884,0.112265,0.112265,0.966803,0.181942,1.599725,0.266443,1.383312,-0.026947,1.445567,-0.268764,1.350229,-0.647571,0.689654
2.09550,0.112211,0.112211,0.966664,0.182532,1.599473,0.266928,1.382906,-0.024764,1.452679,-0.268573,1.362556,-0.588125,0.675146
2.11217,0.112167,0.112167,0.966528,0.182942,1.599236,0.267278,1.382568,-0.022702,1.459145,-0.268325,1.374091,-0.532056,0.667042
2.12884,0.112133,0.112133,0.966394,0.183308,1.599011,0.267650,1.382237,-0.020651,1.464914,-0.267890,1.384680,-0.479811,0.663940
2.14550,0.112106,0.112106,0.966264,0.183643,1.598806,0.267965,1.381951,-0.018731,1.470031,-0.267375,1.394267,-0.431249,0.664487
2.16217,0.112084,0.112084,0.966138,0.183997,1.598586,0.268314,1.381658,-0.016819,1.474672,-0.266761,1.403307,-0.387560,0.668357
2.17884,0.112066,0.112066,0.966016,0.184418,1.598372,0.268728,1.381371,-0.014944,1.478749,-0.265977,1.411322,-0.347551,0.673984
2.19550,0.112052,0.112052,0.965899,0.184819,1.598168,0.269107,1.381057,-0.013194,1.482343,-0.265208,1.418678,-0.311553,0.681072
2.21217,0.112041,0.112041,0.965787,0.185064,1.597993,0.269470,1.380861,-0.011646,1.485388,-0.264445,1.424918,-0.278535,0.688571
2.22884,0.112033,0.112033,0.965680,0.185447,1.597800,0.269791,1.380577,-0.010186,1.488116,-0.263686,1.430657,-0.249121,0.696711
2.24550,0.112026,0.112026,0.969999,0.186122,1.601437,0.255555,1.381405,-0.021833,1.495461,-0.276609,1.443943,-0.245932,0.712652
2.26217,0.112009,0.112009,0.969991,0.185973,1.601472,0.255518,1.381470,-0.021032,1.497545,-0.276234,1.448178,-0.222095,0.720223
2.27884,0.111936,0.111936,0.969973,0.185212,1.601598,0.255234,1.381745,-0.020824,1.498985,-0.276305,1.451088,-0.200074,0.726894
2.29550,0.111736,0.111736,0.969945,0.184382,1.601741,0.255017,1.382052,-0.020635,1.500244,-0.276335,1.453523,-0.179950,0.733345
2.31217,0.111332,0.111332,0.969909,0.183318,1.601890,0.254651,1.382393,-0.020775,1.501113,-0.276634,1.455275,-0.161763,0.739280
2.32884,0.110655,0.110655,0.969863,0.181581,1.602088,0.253825,1.382887,-0.021601,1.501608,-0.277513,1.456063,-0.145234,0.744362
2.34550,0.109647,0.109647,0.969810,0.179432,1.602302,0.252722,1.383416,-0.022886,1.501714,-0.278781,1.456072,-0.130453,0.748668
2.36217,0.108268,0.108268,0.969749,0.176996,1.602511,0.251382,1.383931,-0.024452,1.501701,-0.280313,1.455862,-0.117298,0.752699
2.37884,0.106491,0.106491,0.969680,0.173942,1.602732,0.249553,1.384542,-0.026732,1.501253,-0.282452,1.454629,-0.104778,0.755934
2.39550,0.104307,0.104307,0.969604,0.170660,1.602910,0.247410,1.385086,-0.029366,1.500631,-0.284923,1.453125,-0.094195,0.758654
2.41217,0.101719,0.101719,0.969521,0.166891,1.603099,0.244914,1.385665,-0.032479,1.499722,-0.287815,1.451040,-0.084574,0.760803
2.42884,0.098741,0.098741,0.969432,0.162811,1.603246,0.241970,1.386191,-0.036075,1.498651,-0.291146,1.448599,-0.076189,0.762494
2.44550,0.095399,0.095399,0.969337,0.158284,1.603403,0.238712,1.386752,-0.040060,1.497397,-0.294801,1.445683,-0.068153,0.763856
2.46217,0.091724,0.091724,0.969236,0.153362,1.603541,0.235057,1.387302,-0.044556,1.495806,-0.298914,1.442237,-0.061355,0.764535
2.47884,0.087756,0.087756,0.969131,0.148312,1.603649,0.231189,1.387796,-0.049208,1.494260,-0.303169,1.438839,-0.055521,0.765126
2.49550,0.083536,0.083536,0.969020,0.143373,1.603691,0.227279,1.388174,-0.053887,1.492593,-0.307416,1.435225,-0.050200,0.765402
2.51217,0.079111,0.079111,0.968905,0.138151,1.603729,0.223084,1.388553,-0.058913,1.490704,-0.311972,1.431297,-0.045477,0.765372
2.52884,0.074528,0.074528,0.968786,0.132738,1.603745,0.218615,1.388882,-0.064197,1.488759,-0.316718,1.427297,-0.041618,0.765076
2.54550,0.069833,0.069833,0.968663,0.127532,1.603720,0.214270,1.389141,-0.069300,1.486845,-0.321370,1.423370,-0.038619,0.764521
2.56217,0.065075,0.065075,0.968537,0.122604,1.603639,0.210007,1.389236,-0.074230,1.484981,-0.325831,1.419671,-0.036109,0.763971
2.57884,0.060298,0.060298,0.968408,0.117360,1.603577,0.205539,1.389431,-0.079459,1.482884,-0.330525,1.415550,-0.033367,0.763301
2.59550,0.055547,0.055547,0.968276,0.112520,1.603465,0.201243,1.389483,-0.084428,1.480857,-0.334970,1.411599,-0.031602,0.762253
2.61217,0.050864,0.050864,0.968142,0.107634,1.603354,0.196938,1.389520,-0.089357,1.478920,-0.339414,1.407935,-0.030361,0.761314
2.62884,0.046285,0.046285,0.968007,0.103178,1.603201,0.192862,1.389465,-0.094009,1.476997,-0.343570,1.404287,-0.028856,0.760442
2.64550,0.041848,0.041848,0.967870,0.098826,1.603040,0.188941,1.389394,-0.098461,1.475163,-0.347571,1.400924,-0.028174,0.759389
2.66217,0.037583,0.037583,0.967732,0.094972,1.602839,0.185302,1.389223,-0.102556,1.473448,-0.351264,1.397872,-0.028150,0.758162
2.67884,0.033519,0.033519,0.967593,0.090946,1.602678,0.181625,1.389117,-0.106712,1.471685,-0.354980,1.394680,-0.027704,0.757089
2.69550,0.029680,0.029680,0.967454,0.087729,1.602442,0.178460,1.388843,-0.110223,1.470193,-0.358134,1.392047,-0.027652,0.756073
2.71217,0.026084,0.026084,0.967315,0.084566,1.602222,0.175401,1.388574,-0.113622,1.468706,-0.361201,1.389515,-0.028009,0.754917
2.72884,0.022749,0.022749,0.967177,0.082035,1.601956,0.172852,1.388242,-0.116475,1.467265,-0.363717,1.387030,-0.027790,0.753798
2.74550,0.019684,0.019684,0.967040,0.079509,1.601718,0.170348,1.387921,-0.119220,1.466056,-0.366215,1.385063,-0.028315,0.752842
2.76217,0.016897,0.016897,0.966904,0.077480,1.601459,0.168206,1.387553,-0.121570,1.464910,-0.368315,1.383160,-0.028689,0.751826
2.77884,0.014390,0.014390,0.966769,0.075616,1.601204,0.166296,1.387188,-0.123657,1.463878,-0.370181,1.381466,-0.029041,0.750870
2.79550,0.012160,0.012160,0.966637,0.074144,1.600944,0.164710,1.386820,-0.125389,1.462954,-0.371754,1.380070,-0.029375,0.750106
2.81217,0.010199,0.010199,0.966507,0.072827,1.600690,0.163333,1.386448,-0.126883,1.462137,-0.373088,1.378781,-0.029922,0.749167
2.82884,0.008497,0.008497,0.966380,0.071988,1.600417,0.162298,1.386031,-0.127975,1.461498,-0.374084,1.377859,-0.030614,0.748331
2.84550,0.007037,0.007037,0.966256,0.071209,1.600172,0.161419,1.385685,-0.128940,1.460818,-0.374920,1.376801,-0.030454,0.747779
2.86217,0.005798,0.005798,0.966135,0.070757,1.599913,0.160771,1.385285,-0.129588,1.460417,-0.375535,1.376306,-0.031039,0.747261
2.87884,0.004756,0.004756,0.966019,0.070577,1.599644,0.160394,1.384873,-0.129964,1.460005,-0.375879,1.375800,-0.031561,0.746579
2.89550,0.003885,0.003885,0.965907,0.070205,1.599435,0.159977,1.384583,-0.130410,1.459604,-0.376292,1.375305,-0.031944,0.746061
2.91217,0.003163,0.003163,0.965799,0.070088,1.599213,0.159745,1.384254,-0.130613,1.459386,-0.376495,1.375088,-0.032357,0.745689
2.92884,0.002567,0.002567,0.965697,0.070202,1.598981,0.159663,1.383879,-0.130666,1.459123,-0.376516,1.374730,-0.032346,0.745309
2.94550,0.002077,0.002077,0.965600,0.070135,1.598797,0.159550,1.383615,-0.130778,1.458859,-0.376628,1.374466,-0.032879,0.744737
2.96217,0.001677,0.001677,0.965509,0.070233,1.598604,0.159615,1.383349,-0.130684,1.458704,-0.376533,1.374312,-0.032995,0.744428
2.97884,0.001351,0.001351,0.965424,0.070549,1.598410,0.159750,1.383049,-0.130491,1.458627,-0.376372,1.374329,-0.033076,0.744314
2.99550,0.001086,0.001086,0.965345,0.070630,1.598257,0.159786,1.382816,-0.130426,1.458505,-0.376307,1.374207,-0.032979,0.744170
3.01217,0.000871,0.000871,0.965274,0.070983,1.598089,0.159957,1.382544,-0.130197,1.458455,-0.376110,1.374251,-0.033235,0.743928
3.02884,0.000697,0.000697,0.965210,0.071102,1.597956,0.160060,1.382374,-0.130093,1.458285,-0.376006,1.374082,-0.033341,0.743605
