t,standX,hipX,hipY,headX,headY,shX,shY,elX,elY,handX,handY,tipX,tipY
1.85768,0.160000,0.160000,0.960778,0.245997,1.591370,0.337801,1.374089,0.444910,1.654227,0.200813,1.743553,-0.509805,1.491485
1.87434,0.160000,0.160000,0.960233,0.247137,1.590768,0.338902,1.373090,0.585839,1.543305,0.409062,1.733864,-0.338456,1.832521
1.89101,0.160000,0.160000,0.959672,0.248393,1.590138,0.339857,1.371950,0.638634,1.398105,0.553211,1.643597,-0.091847,2.034004
1.90768,0.160000,0.160000,0.959100,0.249786,1.589473,0.340744,1.370721,0.623544,1.270836,0.629309,1.530704,0.161380,2.121941
1.92434,0.160000,0.160000,0.958518,0.250912,1.588860,0.341422,1.369602,0.575701,1.182341,0.658169,1.428845,0.386332,2.132139
1.94101,0.160000,0.160000,0.957931,0.252132,1.588152,0.342352,1.368490,0.523743,1.129634,0.664309,1.348282,0.573806,2.096833
1.95768,0.160000,0.160000,0.957342,0.253904,1.587424,0.343232,1.367115,0.481116,1.100762,0.662641,1.286814,0.723954,2.038319
1.97434,0.160000,0.160000,0.949999,0.275035,1.577549,0.360331,1.351527,0.451197,1.065697,0.667430,1.209953,0.883613,1.932299
1.99101,0.160000,0.160000,0.949969,0.276690,1.577344,0.361105,1.351166,0.424415,1.057997,0.663636,1.159686,1.009931,1.829462
2.00768,0.160000,0.160000,0.949897,0.276503,1.577310,0.360107,1.351011,0.406797,1.054738,0.654776,1.132679,1.064571,1.765599
2.02434,0.160000,0.160000,0.949784,0.275977,1.577299,0.359670,1.351114,0.392110,1.052944,0.643939,1.117368,1.087343,1.727215
2.04101,0.160000,0.160000,0.949632,0.275370,1.577272,0.359703,1.351317,0.378047,1.051950,0.630718,1.112988,1.082265,1.716830
2.05768,0.160000,0.160000,0.949445,0.274710,1.577217,0.360104,1.351619,0.363739,1.051714,0.614859,1.118840,1.051683,1.733417
2.07434,0.160000,0.160000,0.949223,0.273809,1.577171,0.360614,1.352050,0.349532,1.052330,0.596281,1.134068,0.996309,1.773206
2.09101,0.160000,0.160000,0.948969,0.273042,1.577063,0.361383,1.352494,0.338247,1.053464,0.576715,1.156897,0.918106,1.829184
2.10768,0.160000,0.160000,0.948684,0.271773,1.577025,0.361827,1.353150,0.335026,1.054429,0.565190,1.175214,0.855924,1.870909
2.12434,0.160000,0.160000,0.948371,0.270630,1.576929,0.362326,1.353807,0.339082,1.054790,0.561816,1.188780,0.811518,1.900233
2.14101,0.160000,0.160000,0.948032,0.269548,1.576797,0.362839,1.354468,0.366029,1.054568,0.572996,1.211818,0.744440,1.946068
2.15768,0.160000,0.160000,0.947668,0.268036,1.576716,0.362976,1.355289,0.451661,1.068784,0.604872,1.278757,0.558669,2.031340
2.17434,0.160000,0.160000,0.947282,0.266765,1.576568,0.363164,1.356011,0.532911,1.108756,0.616874,1.354748,0.349318,2.059680
2.19101,0.160000,0.160000,0.946875,0.265011,1.576477,0.362949,1.356870,0.598450,1.171161,0.605594,1.430988,0.140812,2.024699
2.20768,0.160000,0.160000,0.946450,0.263443,1.576330,0.362768,1.357671,0.645066,1.256400,0.570440,1.505382,-0.056963,1.923568
2.22434,0.160000,0.160000,0.946009,0.262088,1.576136,0.362521,1.358322,0.662091,1.372679,0.501755,1.577260,-0.234984,1.737665
2.24101,0.160000,0.160000,0.945553,0.260385,1.575975,0.362012,1.359068,0.625536,1.502257,0.396003,1.624223,-0.342475,1.472021
2.25768,0.160000,0.160000,0.945085,0.258491,1.575829,0.361238,1.359835,0.525183,1.610973,0.267281,1.643344,-0.368803,1.238485
2.27434,0.160000,0.160000,0.944606,0.256764,1.575648,0.360460,1.360493,0.375529,1.660029,0.115654,1.665169,-0.474455,1.195823
2.29101,0.160000,0.160000,0.944119,0.255082,1.575445,0.359546,1.361041,0.215745,1.624232,-0.042196,1.592174,-0.559157,1.043297
2.30768,0.160000,0.160000,0.943625,0.253534,1.575207,0.358685,1.361507,0.107481,1.525352,-0.140654,1.447951,-0.551811,0.815919
2.32434,0.160000,0.160000,0.943127,0.251776,1.575001,0.357522,1.361948,0.064571,1.426205,-0.161467,1.297875,-0.429025,0.592944
2.34101,0.160000,0.160000,0.942626,0.250016,1.574787,0.356292,1.362339,0.059325,1.320385,-0.127028,1.139182,-0.208099,0.389554
2.35768,0.160000,0.160000,0.942125,0.248181,1.574584,0.354898,1.362678,0.090720,1.220693,-0.038050,0.994905,0.092020,0.252209
2.37434,0.160000,0.160000,0.941625,0.246633,1.574336,0.353555,1.362834,0.153852,1.139075,0.096558,0.885540,0.437653,0.213104
2.39101,0.160000,0.160000,0.941129,0.245009,1.574103,0.352075,1.362959,0.239428,1.085001,0.260385,0.825919,0.786565,0.285873
2.40768,0.160000,0.160000,0.940638,0.243291,1.573868,0.350509,1.363065,0.335904,1.063503,0.433665,0.822660,1.097690,0.465466
2.42434,0.160000,0.160000,0.940155,0.242065,1.573617,0.348982,1.362912,0.430853,1.074385,0.595555,0.873297,1.335575,0.728776
2.44101,0.160000,0.160000,0.939681,0.240520,1.573417,0.347171,1.362743,0.513410,1.113112,0.729170,0.968161,1.479395,1.043527
2.45768,0.160000,0.160000,0.939219,0.239135,1.573164,0.345617,1.362627,0.577235,1.172089,0.824951,1.093347,1.524067,1.375754
2.47434,0.160000,0.160000,0.938770,0.237716,1.572954,0.343803,1.362399,0.618500,1.242011,0.878249,1.232289,1.476544,1.691156
2.49101,0.160000,0.160000,0.938336,0.236616,1.572719,0.342028,1.362000,0.638138,1.314348,0.891874,1.370758,1.354379,1.966247
2.50768,0.160000,0.160000,0.937920,0.235446,1.572501,0.340369,1.361678,0.639553,1.382701,0.872689,1.497644,1.180871,2.185787
2.52434,0.160000,0.160000,0.937523,0.234786,1.572249,0.338737,1.361115,0.627395,1.442538,0.829808,1.605613,0.980300,2.344444
2.54101,0.160000,0.160000,0.937148,0.233516,1.572082,0.336921,1.360789,0.605647,1.493982,0.772281,1.693476,0.775457,2.447471
2.55768,0.160000,0.160000,0.936796,0.232999,1.571846,0.335491,1.360257,0.579111,1.535195,0.709532,1.760040,0.584900,2.503670
2.57434,0.160000,0.160000,0.936470,0.232184,1.571664,0.333893,1.359816,0.550407,1.567365,0.646889,1.808730,0.415871,2.526469
2.59101,0.160000,0.160000,0.936171,0.231558,1.571481,0.332454,1.359336,0.522824,1.591098,0.589808,1.842255,0.274771,2.527288
2.60768,0.160000,0.160000,0.935901,0.231037,1.571306,0.331236,1.358932,0.498070,1.608175,0.540704,1.864590,0.161541,2.516322
2.62434,0.160000,0.160000,0.935663,0.230432,1.571167,0.329917,1.358533,0.477064,1.619883,0.501018,1.878713,0.075656,2.501277
2.64101,0.160000,0.160000,0.935457,0.230176,1.571016,0.328971,1.358141,0.460953,1.627469,0.471682,1.887184,0.015134,2.487254
2.65768,0.160000,0.160000,0.935288,0.229668,1.570921,0.328001,1.357886,0.449140,1.632262,0.451698,1.892187,-0.023489,2.477608
2.67434,0.160000,0.160000,0.935155,0.229692,1.570798,0.327356,1.357517,0.442151,1.634607,0.441022,1.894542,-0.042422,2.473164
2.69101,0.160000,0.160000,0.935062,0.229411,1.570744,0.326687,1.357287,0.438715,1.635509,0.437685,1.895445,-0.045535,2.474252
2.70768,0.160000,0.160000,0.935011,0.229489,1.570777,0.326239,1.357087,0.438587,1.635180,0.440748,1.895110,-0.035332,2.479805
2.72434,0.160000,0.160000,0.935000,0.229290,1.570700,0.326031,1.357018,0.440616,1.634196,0.448060,1.894029,-0.016037,2.488280
2.74101,0.160000,0.160000,0.935000,0.229290,1.570700,0.325857,1.356922,0.443941,1.632628,0.457959,1.892189,0.009050,2.497996
